|Bz|,|Bx+Bz|,|By+Bz|,Res
2222.090232,1229.930486,3440.053779,12.16
2797.215937,1967.185553,4422.785095,12.16
3270.54338,2751.815582,4953.834172,12.16
3522.378884,3840.690172,4893.033211,12.16
3311.466745,4342.695707,3917.680053,12.16
2896.358748,3925.038599,2898.955157,12.16
1622.049629,2075.209387,1539.408977,12.16
1782.969714,2231.660817,1823.662524,12.16
1888.245217,2210.703508,2134.209221,12.16
1927.590205,2121.778499,2268.194877,12.16
1477.17636,1335.299592,2076.594568,12.16
967.7649508,653.5334727,1297.052042,12.16
832.0727132,747.0113788,1119.872314,12.16
1255.543309,1354.071268,1384.476074,12.16
1212.721732,1345.947993,1396.958482,12.16
1169.059451,1298.881827,1140.631404,12.16
949.3987571,1155.703249,846.6055752,12.16
627.6639228,773.7667607,535.7779391,12.16
659.3064538,574.1376142,136.3048055,12.16
690.7633459,695.1208528,118.2920116,12.16
635.4258415,652.0958519,314.9984127,12.16
460.8709147,314.6601341,132.9135057,12.16
